provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan
ACEH,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2228373.0,MARET,515075.0
ACEH,2025,B Pertambangan dan Penggalian,FEBRUARI,4305238.0,MARET,515075.0
ACEH,2025,C Industri Pengolahan,FEBRUARI,2557211.0,MARET,515075.0
ACEH,2025,D Pengadaan Listrik dan Gas,FEBRUARI,5421924.0,MARET,515075.0
ACEH,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2581805.0,MARET,515075.0
ACEH,2025,F Konstruksi,FEBRUARI,3014043.0,MARET,515075.0
ACEH,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,3332335.0,MARET,515075.0
ACEH,2025,H Transportasi dan Pergudangan,FEBRUARI,3893380.0,MARET,515075.0
ACEH,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1899211.0,MARET,515075.0
ACEH,2025,J Informasi dan Komunikasi,FEBRUARI,3174059.0,MARET,515075.0
ACEH,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3806961.0,MARET,515075.0
ACEH,2025,"M,N Jasa Perusahaan",FEBRUARI,3164315.0,MARET,515075.0
ACEH,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3685541.0,MARET,515075.0
ACEH,2025,P Jasa Pendidikan,FEBRUARI,2601502.0,MARET,515075.0
ACEH,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2208454.0,MARET,515075.0
ACEH,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1507035.0,MARET,515075.0
ACEH,2025,Total,FEBRUARI,2884151.0,MARET,515075.0
SUMATERA UTARA,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1950963.0,MARET,509871.0
SUMATERA UTARA,2025,B Pertambangan dan Penggalian,FEBRUARI,2667616.0,MARET,509871.0
SUMATERA UTARA,2025,C Industri Pengolahan,FEBRUARI,2695144.0,MARET,509871.0
SUMATERA UTARA,2025,D Pengadaan Listrik dan Gas,FEBRUARI,3387534.0,MARET,509871.0
SUMATERA UTARA,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2172569.0,MARET,509871.0
SUMATERA UTARA,2025,F Konstruksi,FEBRUARI,2631735.0,MARET,509871.0
SUMATERA UTARA,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2501416.0,MARET,509871.0
SUMATERA UTARA,2025,H Transportasi dan Pergudangan,FEBRUARI,3266215.0,MARET,509871.0
SUMATERA UTARA,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1849739.0,MARET,509871.0
SUMATERA UTARA,2025,J Informasi dan Komunikasi,FEBRUARI,3638576.0,MARET,509871.0
SUMATERA UTARA,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,4639905.0,MARET,509871.0
SUMATERA UTARA,2025,L Real Estate,FEBRUARI,3306366.0,MARET,509871.0
