provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan,rasio_daya_beli,gap_kesejahteraan,status_kerentanan
ACEH,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2228373.0,MARET,515075.0,4.33,1713298.0,RENTAN
ACEH,2025,B Pertambangan dan Penggalian,FEBRUARI,4305238.0,MARET,515075.0,8.36,3790163.0,AMAN
ACEH,2025,C Industri Pengolahan,FEBRUARI,2557211.0,MARET,515075.0,4.96,2042136.0,RENTAN
ACEH,2025,D Pengadaan Listrik dan Gas,FEBRUARI,5421924.0,MARET,515075.0,10.53,4906849.0,AMAN
ACEH,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2581805.0,MARET,515075.0,5.01,2066730.0,AMAN
ACEH,2025,F Konstruksi,FEBRUARI,3014043.0,MARET,515075.0,5.85,2498968.0,AMAN
ACEH,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,3332335.0,MARET,515075.0,6.47,2817260.0,AMAN
ACEH,2025,H Transportasi dan Pergudangan,FEBRUARI,3893380.0,MARET,515075.0,7.56,3378305.0,AMAN
ACEH,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1899211.0,MARET,515075.0,3.69,1384136.0,RENTAN
ACEH,2025,J Informasi dan Komunikasi,FEBRUARI,3174059.0,MARET,515075.0,6.16,2658984.0,AMAN
ACEH,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3806961.0,MARET,515075.0,7.39,3291886.0,AMAN
ACEH,2025,"M,N Jasa Perusahaan",FEBRUARI,3164315.0,MARET,515075.0,6.14,2649240.0,AMAN
ACEH,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3685541.0,MARET,515075.0,7.16,3170466.0,AMAN
ACEH,2025,P Jasa Pendidikan,FEBRUARI,2601502.0,MARET,515075.0,5.05,2086427.0,AMAN
ACEH,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2208454.0,MARET,515075.0,4.29,1693379.0,RENTAN
ACEH,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1507035.0,MARET,515075.0,2.93,991960.0,KRITIS
ACEH,2025,Total,FEBRUARI,2884151.0,MARET,515075.0,5.6,2369076.0,AMAN
SUMATERA UTARA,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1950963.0,MARET,509871.0,3.83,1441092.0,RENTAN
SUMATERA UTARA,2025,B Pertambangan dan Penggalian,FEBRUARI,2667616.0,MARET,509871.0,5.23,2157745.0,AMAN
