provinsi,rata_rata_upah,gkm_makanan,rasio_daya_beli,gap_kesejahteraan,cluster_label
ACEH,2973040.205882353,531293.0,5.606764705882353,2441747.205882353,2
BALI,3837488.970588235,433033.9411764706,8.86235294117647,3404455.029411765,2
BANTEN,4235577.828571429,512460.82857142854,8.263428571428571,3723117.0,2
BENGKULU,2727638.5,514841.4705882353,5.297352941176471,2212797.029411765,2
DI YOGYAKARTA,3103470.1515151514,465385.63636363635,6.66969696969697,2638084.515151515,2
DKI JAKARTA,6381723.257142857,607486.0285714286,10.512,5774237.228571429,1
GORONTALO,2629913.029411765,394837.0,6.654705882352941,2235076.029411765,2
JAMBI,3074012.794117647,523152.5882352941,5.875,2550860.205882353,2
JAWA BARAT,3955741.0,420282.5,9.401111111111112,3535458.5,2
JAWA TENGAH,2748018.5555555555,420182.0,6.538333333333333,2327836.5555555555,2
JAWA TIMUR,3072239.888888889,436525.5,7.031944444444445,2635714.388888889,2
KALIMANTAN BARAT,3140497.6666666665,491177.0,6.393888888888889,2649320.6666666665,2
KALIMANTAN SELATAN,3283525.5555555555,479571.0,6.8525,2803954.5555555555,2
KALIMANTAN TENGAH,3273882.6363636362,515831.63636363635,6.346666666666667,2758051.0,2
KALIMANTAN TIMUR,4411753.861111111,620597.5,7.112222222222223,3791156.361111111,2
KALIMANTAN UTARA,3825359.9696969697,672694.8181818182,5.695757575757576,3152665.1515151514,2
KEP. BANGKA BELITUNG,3247511.714285714,717189.4,4.527428571428572,2530322.314285714,2
KEP. RIAU,4697046.833333333,586240.0,8.0175,4110806.8333333335,2
LAMPUNG,2588877.6,467480.7428571429,5.537142857142857,2121396.8571428573,2
MALUKU,3029730.8235294116,569276.0,5.333235294117647,2460454.8235294116,2
MALUKU UTARA,3355035.6875,516942.28125,6.488125,2838093.40625,2
NUSA TENGGARA BARAT,2694225.657142857,429712.3714285714,6.268,2264513.285714286,2
NUSA TENGGARA TIMUR,2371592.875,421108.28125,5.6303125,1950484.59375,2
PAPUA,4139371.727272727,496064.0303030303,8.340303030303032,3643307.696969697,2
PAPUA BARAT,3304857.34375,631863.5,5.225625,2672993.84375,2
PAPUA BARAT DAYA,3843461.4375,612414.0,6.27625,3231047.4375,2
PAPUA PEGUNUNGAN,3415527.782608696,900659.9565217391,3.8017391304347825,2514867.8260869565,2
PAPUA SELATAN,3817241.103448276,442333.5517241379,8.62,3374907.5517241377,2
PAPUA TENGAH,4728668.833333333,645246.9333333333,7.304,4083421.9,2
RIAU,3436591.4166666665,537508.5,6.396944444444444,2899082.9166666665,2
SULAWESI BARAT,2605200.1818181816,385907.0303030303,6.746363636363636,2219293.1515151514,2
SULAWESI SELATAN,3210810.4166666665,372698.5,8.625277777777777,2838111.9166666665,2
SULAWESI TENGAH,2987363.9142857143,484039.65714285715,6.168571428571429,2503324.257142857,2
SULAWESI TENGGARA,3022521.342857143,375896.65714285715,8.045142857142856,2646624.685714286,2
SULAWESI UTARA,3401127.314285714,423753.0,8.030000000000001,2977374.314285714,2
SUMATERA BARAT,2940569.4571428574,573881.6857142857,5.128857142857143,2366687.7714285715,2
SUMATERA SELATAN,3257206.888888889,447500.5,7.273611111111112,2809706.388888889,2
SUMATERA UTARA,2939526.1666666665,530482.0,5.54111111111111,2409044.1666666665,2
