38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2024,,,2024,,,2024,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,-,-,-,-,-,-,-
SUMATERA UTARA,-,-,-,-,-,-,-,-,-
SUMATERA BARAT,-,-,-,-,-,-,-,-,-
RIAU,-,-,-,-,-,-,-,-,-
JAMBI,-,-,-,-,-,-,-,-,-
SUMATERA SELATAN,-,-,-,-,-,-,-,-,-
BENGKULU,-,-,-,-,-,-,-,-,-
LAMPUNG,-,-,-,-,-,-,-,-,-
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,-
KEP. RIAU,-,-,-,-,-,-,-,-,-
DKI JAKARTA,-,-,-,-,-,-,-,-,-
JAWA BARAT,-,-,-,-,-,-,-,-,-
JAWA TENGAH,-,-,-,-,-,-,-,-,-
DI YOGYAKARTA,-,-,-,-,-,-,-,-,-
JAWA TIMUR,-,-,-,-,-,-,-,-,-
BANTEN,-,-,-,-,-,-,-,-,-
BALI,-,-,-,-,-,-,-,-,-
NUSA TENGGARA BARAT,-,-,-,-,-,-,-,-,-
NUSA TENGGARA TIMUR,-,-,-,-,-,-,-,-,-
KALIMANTAN BARAT,-,-,-,-,-,-,-,-,-
KALIMANTAN TENGAH,-,-,-,-,-,-,-,-,-
KALIMANTAN SELATAN,-,-,-,-,-,-,-,-,-
KALIMANTAN TIMUR,-,-,-,-,-,-,-,-,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,-,-,-,-,-,-,-
SULAWESI TENGAH,-,-,-,-,-,-,-,-,-
SULAWESI SELATAN,-,-,-,-,-,-,-,-,-
SULAWESI TENGGARA,-,-,-,-,-,-,-,-,-
GORONTALO,-,-,-,-,-,-,-,-,-
SULAWESI BARAT,-,-,-,-,-,-,-,-,-
MALUKU,-,-,-,-,-,-,-,-,-
MALUKU UTARA,-,-,-,-,-,-,-,-,-
PAPUA BARAT,-,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,-,-,-,-,-,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,-,-,-,-,-,-,-
