38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,538448,569571,-,503661,536191,-,515075,547511,-
SUMATERA UTARA,524697,570493,-,492239,528887,-,509871,551093,-
SUMATERA BARAT,559567,598813,-,547898,587111,-,553733,592911,-
RIAU,542999,567928,-,514581,536509,-,525806,549211,-
JAMBI,572986,615370,-,467572,506394,-,501425,542466,-
SUMATERA SELATAN,465384,487536,-,420834,441593,-,436639,458362,-
BENGKULU,561045,585666,-,477479,496208,-,503475,524945,-
LAMPUNG,487024,506540,-,443882,462018,-,457878,476550,-
KEP. BANGKA BELITUNG,670853,701024,-,752786,760208,-,706833,728155,-
KEP. RIAU,568098,599596,-,596729,636637,-,570132,602348,-
DKI JAKARTA,591933,622175,-,-,-,-,591933,622175,-
JAWA BARAT,411808,432282,-,403688,423169,-,410143,430422,-
JAWA TENGAH,414287,440382,-,400113,424150,-,407576,432788,-
DI YOGYAKARTA,474766,493979,-,406045,414726,-,457221,473070,-
JAWA TIMUR,438598,461987,-,409580,429168,-,425719,447332,-
BANTEN,510192,532976,-,453620,484115,-,499525,524678,-
BALI,434774,459898,-,376542,400884,-,419319,445225,-
NUSA TENGGARA BARAT,436127,449583,-,406640,421204,-,422427,436593,-
NUSA TENGGARA TIMUR,477499,494944,-,396092,401822,-,416301,425350,-
KALIMANTAN BARAT,496153,526802,-,452800,471015,-,468496,491177,-
KALIMANTAN TENGAH,474374,506058,-,523905,542701,-,503626,526003,-
KALIMANTAN SELATAN,458192,481940,-,476124,501564,-,467347,491795,-
KALIMANTAN TIMUR,611686,630093,-,611369,628655,-,611584,629611,-
KALIMANTAN UTARA,684560,716888,-,605830,628793,-,652807,689268,-
SULAWESI UTARA,423632,446177,-,399651,419573,-,412809,434089,-
SULAWESI TENGAH,468088,495786,-,469100,499763,-,468788,498444,-
SULAWESI SELATAN,365268,391564,-,352046,383998,-,357943,387454,-
SULAWESI TENGGARA,374015,404823,-,358449,374871,-,364299,386850,-
GORONTALO,378641,395848,-,389748,411927,-,384890,404784,-
SULAWESI BARAT,372540,397565,-,370682,400486,-,371048,399892,-
MALUKU,565438,605760,-,545362,567245,-,554327,584225,-
MALUKU UTARA,528081,554648,-,499980,512545,-,508021,524814,-
PAPUA BARAT,687668,741245,-,584739,607890,-,619054,644673,-
PAPUA BARAT DAYA,598190,635302,-,591232,621834,-,595233,629595,-
PAPUA,541935,544320,-,419154,421118,-,488906,502801,-
PAPUA SELATAN,518708,552854,-,368331,390860,-,432733,450134,-
PAPUA TENGAH,671784,712049,-,613495,646549,-,625920,662158,-
PAPUA PEGUNUNGAN,1125572,1194291,-,849191,906093,-,862027,942805,-
INDONESIA,463801,489412,-,441494,464492,-,454299,478955,-
