provinsi,tahun,upah,gk
ACEH,2015,11226,395961.0
ACEH,2016,13627,417860.5
ACEH,2017,14809,444789.0
ACEH,2018,13814,470645.5
ACEH,2019,15065,495674.5
ACEH,2020,18099,523166.5
ACEH,2021,17037,547024.0
ACEH,2022,16772,598260.5
SUMATERA UTARA,2015,10618,357045.5
SUMATERA UTARA,2016,11646,394994.0
SUMATERA UTARA,2017,13396,417520.5
SUMATERA UTARA,2018,13257,443821.5
SUMATERA UTARA,2019,14061,478121.0
SUMATERA UTARA,2020,15949,504070.0
SUMATERA UTARA,2021,15486,531533.5
SUMATERA UTARA,2022,15131,576514.5
SUMATERA BARAT,2015,11241,394112.5
SUMATERA BARAT,2016,13206,431608.0
SUMATERA BARAT,2017,14378,454704.0
SUMATERA BARAT,2018,14431,481093.0
SUMATERA BARAT,2019,15210,516676.0
SUMATERA BARAT,2020,17571,545777.5
SUMATERA BARAT,2021,16630,574124.0
SUMATERA BARAT,2022,15887,632567.0
RIAU,2015,13303,408188.0
RIAU,2016,15506,431629.5
RIAU,2017,15182,460837.0
RIAU,2018,15613,483544.5
RIAU,2019,16270,512736.5
RIAU,2020,18411,545074.0
RIAU,2021,19144,575999.5
RIAU,2022,18626,627372.0
JAMBI,2015,12954,351181.0
JAMBI,2016,13169,375761.5
JAMBI,2017,14326,392978.0
JAMBI,2018,14007,428343.0
JAMBI,2019,14304,456533.0
JAMBI,2020,15840,484731.0
JAMBI,2021,16043,512039.0
JAMBI,2022,16042,565910.0
SUMATERA SELATAN,2015,11622,333931.5
SUMATERA SELATAN,2016,12523,356840.5
SUMATERA SELATAN,2017,12690,374153.5
SUMATERA SELATAN,2018,13214,398967.0
SUMATERA SELATAN,2019,13580,418170.0
SUMATERA SELATAN,2020,15072,440150.5
SUMATERA SELATAN,2021,15873,460353.0
SUMATERA SELATAN,2022,15978,499296.5
BENGKULU,2015,12491,395434.0
BENGKULU,2016,13471,426806.0
BENGKULU,2017,14011,456707.5
BENGKULU,2018,14353,486769.5
BENGKULU,2019,14511,509976.5
BENGKULU,2020,17407,528707.0
BENGKULU,2021,18271,560694.5
BENGKULU,2022,16501,608203.5
LAMPUNG,2015,10104,347384.0
LAMPUNG,2016,10385,366757.0
LAMPUNG,2017,11234,387532.0
LAMPUNG,2018,11779,406093.5
